ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,longitud,latitud,PARTICIPANTES,VICTIMA,ACUSADO
2018-0091,1,2018-08-19,2018,8,19,18:47:00,18,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.52280139,-34.63659934,AUTO-AUTO,AUTO,AUTO
2018-0092,1,2018-08-20,2018,8,20,08:20:00,8,Cordoba Av. y Gascon,AVENIDA,CORDOBA AV.,14,-58.42336930,-34.59774487,MOTO-AUTO,MOTO,AUTO
2018-0093,1,2018-08-20,2018,8,20,08:41:00,8,15 De Noviembre De 1889 1513,CALLE,15 DE NOVIEMBRE DE 1889,1,-58.38691681,-34.63105973,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0094,1,2018-08-23,2018,8,23,05:35:00,5,"Salguero, Jeronimo y Beruti",CALLE,"SALGUERO, JERONIMO",14,-58.41169020,-34.58579880,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0095,1,2018-08-26,2018,8,26,00:59:00,0,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",AVENIDA,LACARRA AV.,9,-58.46739825,-34.65117757,AUTO-AUTO,AUTO,AUTO
2018-0096,1,2018-08-31,2018,8,31,22:20:00,22,"AU Héctor J. Cámpora y Roca, Cnel. Av.",AUTOPISTA,AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,8,-58.44483258,-34.67152226,PEATON-AUTO,PEATON,AUTO
2018-0097,1,2018-09-02,2018,9,2,10:50:00,10,Av. Varela y Av. Int. Francisco Rabanal,AVENIDA,VARELA AV.,8,-58.43254025,-34.66128115,AUTO-MOVIL,AUTO,OTRO
2018-0098,2,2018-09-09,2018,9,9,05:00:00,5,Av. Gral. Paz e/ Ferre y Beron de Astrada,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
2018-0099,1,2018-09-12,2018,9,12,14:25:00,14,Rivadavia Av. y Pedernera,AVENIDA,RIVADAVIA AV.,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0100,1,2018-09-20,2018,9,20,10:30:00,10,Elvira Rawson de Dellepiane 150,AVENIDA,"RAWSON DE DELLEPIANE, ELVIRA AV.",1,-58.36217754,-34.62367156,MOTO-AUTO,MOTO,AUTO
2018-0101,1,2018-09-21,2018,9,21,00:15:00,0,"Paz, Gral. Av. y Zapiola",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.48098594,-34.54073130,MULTIPLE,AUTO,MULTIPLE
2018-0102,1,2018-09-21,2018,9,21,00:30:00,0,FAMATINA Y DIOGENES TABORDA,CALLE,FAMATINA,4,-58.41083404,-34.64640709,MOTO-AUTO,MOTO,AUTO
2018-0103,1,2018-09-27,2018,9,27,17:51:00,17,Av. Castañares y Bonorino,AVENIDA,CASTA?ARES AV.,7,-58.44609828,-34.64446729,PEATON-MOTO,PEATON,MOTO
2018-0104,1,2018-10-01,2018,10,1,08:58:00,8,AU Frondizi 9 de Julio Sur y Av. Suarez,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37709334,-34.64035082,MOTO-MOTO,MOTO,MOTO
2018-0105,1,2018-10-03,2018,10,3,18:12:00,18,Nazca Av. y Rivadavia Av.,AVENIDA,NAZCA AV.,7,-58.46963952,-34.63070603,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0106,1,2018-10-04,2018,10,4,22:02:00,22,"Figueroa Alcorta, Pres. Av. y Echeverria",AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",13,-58.43674281,-34.55161027,MOTO-MOTO,MOTO,MOTO
2018-0107,1,2018-10-06,2018,10,6,14:20:00,14,Rivadavia Av. y Jujuy Av.,AVENIDA,RIVADAVIA AV.,3,-58.40596860,-34.61011987,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0108,1,2018-10-09,2018,10,9,14:00:00,14,"De Los Italianos Av. y Guemes, Macacha",AVENIDA,DE LOS ITALIANOS AV.,1,-58.36154069,-34.60463618,MOTO-AUTO,MOTO,AUTO
2018-0109,1,2018-10-10,2018,10,10,22:12:00,22,"Tucuman y Alem, Leandro N. Av.",AVENIDA,TUCUMAN,1,-58.37062179,-34.60066507,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0110,1,2018-10-13,2018,10,13,03:05:00,3,"Corrientes Av. y Gallardo, Angel Av.",AVENIDA,CORRIENTES AV.,15,-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO
2018-0111,1,2018-10-19,2018,10,19,12:13:00,12,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS
2018-0112,1,2018-10-24,2018,10,24,09:18:00,9,Muñecas y Serrano,CALLE,MU?ECAS,15,-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS
2018-0113,1,2018-10-25,2018,10,25,11:00:00,11,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",11,-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS
2018-0114,1,2018-10-30,2018,10,30,02:15:00,2,Solis e Independencia Av.,AVENIDA,SOLIS,1,-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO
2018-0115,1,2018-10-31,2018,10,31,12:30:00,12,"Bosch, Ventura y Paz, Gral. Av.",CALLE,"BOSCH, VENTURA",9,-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0116,1,2018-11-01,2018,11,1,10:50:00,10,"Paz, Gral. Av. 14800",GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS
2018-0117,1,2018-11-04,2018,11,4,08:15:00,8,Av. Eva Perón 5321,AVENIDA,"PERON, EVA AV.",9,-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO
2018-0118,1,2018-11-05,2018,11,5,14:49:00,14,"Peron, Juan Domingo, Tte. General y Pueyrredon Av.",AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",3,-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO
2018-0119,1,2018-11-05,2018,11,5,22:35:00,22,Rabanal y San Pedrito,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",8,-58.43613623,-34.66292532,PEATON-SD,PEATON,SD
2018-0120,1,2018-11-09,2018,11,9,13:34:00,13,Monroe y Alvarez Thomas Av.,AVENIDA,MONROE,12,-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO
2018-0121,1,2018-11-09,2018,11,9,16:32:00,16,Rivadavia Av. y Manzoni,AVENIDA,RIVADAVIA AV.,10,-58.49945705,-34.63743280,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0122,1,2018-11-12,2018,11,12,01:00:00,1,AU Dellepiane Luis Tte. Gral. y Larrazabal,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47743966,-34.67233407,AUTO-AUTO,AUTO,AUTO
2018-0123,1,2018-11-12,2018,11,12,03:32:00,3,"Paz, Gral. Av. y Peron, Eva Av.",GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50251790,-34.67450313,AUTO-SD,AUTO,SD
2018-0124,1,2018-11-15,2018,11,15,19:40:00,19,AU Perito Moreno y Reservistas Argentinos,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.52144411,-34.63682499,CARGAS-CARGAS,CARGAS,CARGAS
2018-0125,1,2018-11-16,2018,11,16,21:12:00,21,Saenz Av. y Ventana,AVENIDA,SAENZ AV.,4,-58.41650465,-34.65084045,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0126,1,2018-11-18,2018,11,18,12:11:00,12,Avda. General Paz y Cnel. Ramón Falcón,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52994219,-34.64055918,MOTO-AUTO,MOTO,AUTO
2018-0127,1,2018-11-19,2018,11,19,09:14:00,9,Av. Gral. Paz y Av. de los Constituyentes,GRAL PAZ,"PAZ, GRAL. AV.",12,-58.50993046,-34.56919739,MOTO-MOTO,MOTO,MOTO
2018-0128,2,2018-11-25,2018,11,25,04:30:00,4,"Paz, Gral. Av. 11200",GRAL PAZ,"PAZ, GRAL. AV.",9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS
2018-0129,1,2018-11-28,2018,11,28,04:01:00,4,"Newbery, Jorge Av. y Guevara",AVENIDA,"NEWBERY, JORGE AV.",15,-58.45021367,-34.58695347,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0130,1,2018-12-03,2018,12,3,03:00:00,3,Gaona Av. y Segurola Av.,AVENIDA,GAONA AV.,10,-58.49022072,-34.62770192,MOTO-PASAJEROS,MOTO,PASAJEROS
2018-0131,1,2018-12-07,2018,12,7,19:10:00,19,"Madero, Eduardo Av. 550",AVENIDA,"MADERO, EDUARDO AV.",1,-58.36860866,-34.60106568,MOTO-CARGAS,MOTO,CARGAS
2018-0132,1,2018-12-12,2018,12,12,08:26:00,8,"AU Arturo Illia y Castillo, Ramon S.",AUTOPISTA,AUTOPISTA ARTURO ILLIA,2,-58.39490504,-34.57241534,PEATON-CARGAS,PEATON,CARGAS
2018-0133,1,2018-12-12,2018,12,12,14:07:00,14,Nazca Av. y Rivadavia Av.,AVENIDA,NAZCA AV.,7,-58.46963952,-34.63070603,PEATON-CARGAS,PEATON,CARGAS
2018-0134,1,2018-12-12,2018,12,12,21:00:00,21,La Plata Av. y Caseros Av.,AVENIDA,LA PLATA AV.,7,-58.42349365,-34.64019887,PEATON-MOTO,PEATON,MOTO
2018-0135,1,2018-12-18,2018,12,18,14:40:00,14,Belgrano Av. y Peru,AVENIDA,BELGRANO AV.,1,-58.37471802,-34.61265002,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0136,1,2018-12-18,2018,12,18,15:42:00,15,Rivadavia Av. 7013,AVENIDA,RIVADAVIA AV.,7,-58.46438789,-34.62913916,PEATON-PASAJEROS,PEATON,PASAJEROS
2018-0137,1,2018-12-18,2018,12,18,20:15:00,20,Adolfo Alsina y Santiago del Estero,CALLE,"ALSINA, ADOLFO",1,-58.38481975,-34.61100424,MOTO-PASAJEROS,MOTO,PASAJEROS
