provider,type,code,name,status,latitude,longitude
UTC API,Cruce Icarus,CLT#051252,Av. Chiclana - Trole,Error de conexión,-34.6399627,-58.4193242
UTC API,Cruce Icarus,CLT#040515,Av. Córdoba - Thames,Conectado,-34.5908043,-58.4353117
UTC API,Cruce Icarus,CLT#040514,Av. Córdoba - Serrano,Conectado,-34.591431,-58.4343765
UTC API,Cruce Icarus,CLT#040517,Av. Córdoba - Godoy Cruz,Conectado,-34.589598,-58.4371284
UTC API,Cruce Icarus,CLT#040516,Av. Córdoba - Uriarte,Conectado,-34.5902292,-58.4361884
UTC API,Cruce Sitra,c7818035-1cbf-4800-86f6-c72fa45c77ff,8961,Conectado,-34.62262473109714,-58.36093490662387
UTC API,Cruce Icarus,CLT#040511,Av. Córdoba - Malabia,Conectado,-34.5935258,-58.4312425
UTC API,Cruce Sitra,dc1401cd-b2ad-4ff3-b09c-049ded7e6e44,1534,Conectado,-34.60012107406344,-58.37968505402518
UTC API,Cruce Icarus,CLT#040510,Av. Córdoba - Av. Scalabrini Ortiz,Conectado,-34.5943221,-58.4300642
UTC API,Cruce Icarus,CLT#040513,Av. Córdoba - Gurruchaga,Conectado,-34.592042,-58.4334525
UTC API,Cruce Icarus,CLT#040512,Av. Córdoba - Armenia / Eduardo Acevedo,Conectado,-34.5927737,-58.4323885
UTC API,Cruce Citar,3532,3532,Conectado,-34.5865273,-58.4002201
UTC API,Cruce Sitra,a0f63f46-2417-4ef7-8eef-b4b863fb6dbd,3809,Conectado,-34.60301944672751,-58.370253984014056
UTC API,Cruce Icarus,CLT#040508,Av. Scalabrini Ortiz - Lerma,Conectado,-34.59506,-58.4311789
UTC API,Cruce Sitra,89ad3b42-304c-492e-b45b-78f6ec1e7882,2216,Conectado,-34.60828840652768,-58.36756086408661
UTC API,Cruce Icarus,CLT#040507,Av. Scalabrini Ortiz - Niceto Vega,Conectado,-34.5937286,-58.4291855
UTC API,Cruce Icarus,CLT#040509,Av. Scalabrini Ortiz - Jufré,Conectado,-34.5957425,-58.4323022
UTC API,Cruce Icarus,CLT#040504,Av. Scalabrini Ortiz - Honduras,Conectado,-34.5915333,-58.4259088
UTC API,Cruce Icarus,CLT#040503,Av. Scalabrini Ortiz - El Salvador,Conectado,-34.5908603,-58.424896
