Id_hecho,n_victimas,fecha,hora,comuna,tipo_calle,longitud,latitud,victima,acusado,participantes,gravedad
LC-2021-0575099,1,2021-11-17,16:30:00,11,CALLE,-58.512687853886,-34.597410130378,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0575133,1,2021-11-17,16:02:00,9,CALLE,-58.494151530816,-34.653469182356,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0575135,1,2021-11-17,13:30:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,SIN DATO - MOTO,SIN DATO
LC-2021-0575254,1,2021-11-17,16:42:00,14,AVENIDA,-58.427200288023,-34.592631656721,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0575469,1,2021-11-17,17:10:00,15,CALLE,-58.438261291744,-34.591440445230,SIN DATO,AUTO,SIN DATO - AUTO,SIN DATO
LC-2021-0575527,1,2021-11-17,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,PEATON,TRANSPORTE PUBLICO,PEATON - TRANSPORTE PUBLICO,GRAVE
LC-2021-0575682,1,2021-11-17,21:20:00,6,CALLE,-58.447296954282,-34.616129057772,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0575710,1,2021-11-17,20:35:00,1,AVENIDA,-58.381280580011,-34.614244630848,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0575744,1,2021-11-17,20:30:00,14,CALLE,-58.411737661807,-34.584655424006,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0575768,1,2021-11-17,22:30:00,14,CALLE,-58.417799943298,-34.592521663967,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0586117,1,2021-11-17,18:00:00,1,AVENIDA,-58.381136675759,-34.617653238781,PEATON,CAMIONETA,PEATON - CAMIONETA,SIN DATO
LC-2021-0575896,1,2021-11-18,02:30:00,1,AVENIDA,-58.379012811518,-34.626083225337,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0575961,3,2021-11-18,05:00:00,15,CALLE,-58.445068062462,-34.590905825103,MOVIL,AUTO,MOVIL - AUTO,SIN DATO
LC-2021-0575998,1,2021-11-18,06:30:00,4,CALLE,-58.404026277979,-34.653609231059,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0576010,1,2021-11-18,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,CAMION,MOTO - CAMION,SIN DATO
LC-2021-0576084,1,2021-11-18,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0576098,3,2021-11-18,09:30:00,10,AVENIDA,-58.495205397361,-34.636642082439,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0576309,1,2021-11-18,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0576374,1,2021-11-18,11:00:00,8,GRAL PAZ,-58.475960830461,-34.694443131295,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0576385,1,2021-11-18,08:40:00,12,CALLE,-58.490265737201,-34.569814107400,AUTO,AUTO,AUTO - AUTO,SIN DATO
LC-2021-0576521,1,2021-11-18,00:00:00,SIN DATO,SIN DATO,SIN DATO,SIN DATO,MOTO,CAMION,MOTO - CAMION,GRAVE
LC-2021-0576646,1,2021-11-18,09:15:00,7,AVENIDA,-58.469328455993,-34.630881403245,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0576707,2,2021-11-18,13:12:00,4,AVENIDA,-58.426739004514,-34.65846408934,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0576717,1,2021-11-18,13:30:00,14,AVENIDA,-58.405187087366,-34.581561297826,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0576757,2,2021-11-18,13:30:00,9,CALLE,-58.501756397199,-34.656558308444,MOTO,CAMIONETA,MOTO - CAMIONETA,SIN DATO
LC-2021-0576823,1,2021-11-18,14:00:00,15,AVENIDA,-58.452210478562,-34.582471335639,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO,TRANSPORTE PUBLICO - TRANSPORTE PUBLICO,SIN DATO
LC-2021-0576852,1,2021-11-18,13:40:00,3,AVENIDA,-58.401510260831,-34.604512635345,PEATON,MOTO,PEATON - MOTO,SIN DATO
LC-2021-0576977,1,2021-11-18,15:30:00,10,CALLE,-58.489285029361,-34.628446646630,MOTO,AUTO,MOTO - AUTO,SIN DATO
LC-2021-0577042,1,2021-11-18,15:00:00,5,AVENIDA,-58.423037903682,-34.608598931758,PEATON,AUTO,PEATON - AUTO,SIN DATO
LC-2021-0577343,1,2021-11-18,19:25:00,9,AVENIDA,-58.478276713699,-34.658273393095,MOTO,SIN DATO,MOTO - SIN DATO,SIN DATO
LC-2021-0577413,2,2021-11-18,18:10:00,15,CALLE,-58.457163886904,-34.579753248208,TAXI,AUTO,TAXI - AUTO,SIN DATO
LC-2021-0577486,1,2021-11-18,19:40:00,10,AVENIDA,-58.521081012205,-34.633823090642,SIN DATO,SIN DATO,SIN DATO - SIN DATO,SIN DATO
